,edf_path,why_edf_excluded
0,F:\UCLH_GLAS\icEEG\1200\20130629_18101.edf,sample_rate_1
1,F:\UCLH_GLAS\icEEG\1200\20130630_06111.edf,sample_rate_1
2,F:\UCLH_GLAS\icEEG\1200\20130630_061111.edf,sample_rate_1
3,F:\UCLH_GLAS\icEEG\1200\20130630_061113.edf,sample_rate_1
4,F:\UCLH_GLAS\icEEG\1200\20130630_061115.edf,sample_rate_1
5,F:\UCLH_GLAS\icEEG\1200\20130630_06113.edf,sample_rate_1
6,F:\UCLH_GLAS\icEEG\1200\20130630_06115.edf,sample_rate_1
7,F:\UCLH_GLAS\icEEG\1200\20130630_06117.edf,sample_rate_1
8,F:\UCLH_GLAS\icEEG\1200\20130630_06119.edf,sample_rate_1
9,F:\UCLH_GLAS\icEEG\1200\20130630_12111.edf,sample_rate_1
10,F:\UCLH_GLAS\icEEG\1200\20130630_12113.edf,sample_rate_1
11,F:\UCLH_GLAS\icEEG\1200\20130630_12115.edf,sample_rate_1
12,F:\UCLH_GLAS\icEEG\1200\20130630_12117.edf,sample_rate_1
13,F:\UCLH_GLAS\icEEG\1200\20130630_12119.edf,sample_rate_1
14,F:\UCLH_GLAS\icEEG\1200\20130630_18111.edf,sample_rate_1
15,F:\UCLH_GLAS\icEEG\1200\20130630_181111.edf,sample_rate_1
16,F:\UCLH_GLAS\icEEG\1200\20130630_18113.edf,sample_rate_1
17,F:\UCLH_GLAS\icEEG\1200\20130630_18115.edf,sample_rate_1
18,F:\UCLH_GLAS\icEEG\1200\20130630_18117.edf,sample_rate_1
19,F:\UCLH_GLAS\icEEG\1200\20130630_18119.edf,sample_rate_1
20,F:\UCLH_GLAS\icEEG\1200\20130701_00111.edf,sample_rate_1
21,F:\UCLH_GLAS\icEEG\1200\20130701_00113.edf,sample_rate_1
22,F:\UCLH_GLAS\icEEG\1200\20130701_06121.edf,sample_rate_1
23,F:\UCLH_GLAS\icEEG\1200\20130701_06123.edf,sample_rate_1
