,edf_path,why_edf_excluded
0,F:\UCLH_GLAS\icEEG\1109\X626_12\Patient8_LTM-FEBRUARY_t12_07042012171010\Pruned_2.edf,sample_rate_1
1,F:\UCLH_GLAS\icEEG\1109\X626_16\Patient8_LTM-FEBRUARY_t16_06232012062816\Patient8_LTM-FEBRUARY_t16_2.edf,sample_rate_1
2,F:\UCLH_GLAS\icEEG\1109\X626_16\Patient8_LTM-FEBRUARY_t16_06232012062816\Patient8_LTM-FEBRUARY_t16_4.edf,sample_rate_1
3,F:\UCLH_GLAS\icEEG\1109\X626_16\Patient8_LTM-FEBRUARY_t16_06232012062816\Patient8_LTM-FEBRUARY_t16_6.edf,sample_rate_1
4,F:\UCLH_GLAS\icEEG\1109\X626_17\Patient8_LTM-FEBRUARY_t17_06232012122833\Patient8_LTM-FEBRUARY_t17_2.edf,sample_rate_1
5,F:\UCLH_GLAS\icEEG\1109\X626_20\Patient8_LTM-FEBRUARY_t20_06242012062921\Patient8_LTM-FEBRUARY_t20_2.edf,sample_rate_1
6,F:\UCLH_GLAS\icEEG\1109\X626_21\Patient8_LTM-FEBRUARY_t21_07042012175402\Pruned_2.edf,sample_rate_1
7,F:\UCLH_GLAS\icEEG\1109\X626_21\Patient8_LTM-FEBRUARY_t21_07042012175402\Pruned_4.edf,sample_rate_1
8,F:\UCLH_GLAS\icEEG\1109\X626_22\Patient8_LTM-FEBRUARY_t22_06242012182959\Patient8_LTM-FEBRUARY_t22_10.edf,sample_rate_1
9,F:\UCLH_GLAS\icEEG\1109\X626_22\Patient8_LTM-FEBRUARY_t22_06242012182959\Patient8_LTM-FEBRUARY_t22_2.edf,sample_rate_1
10,F:\UCLH_GLAS\icEEG\1109\X626_22\Patient8_LTM-FEBRUARY_t22_06242012182959\Patient8_LTM-FEBRUARY_t22_4.edf,sample_rate_1
11,F:\UCLH_GLAS\icEEG\1109\X626_22\Patient8_LTM-FEBRUARY_t22_06242012182959\Patient8_LTM-FEBRUARY_t22_6.edf,sample_rate_1
12,F:\UCLH_GLAS\icEEG\1109\X626_22\Patient8_LTM-FEBRUARY_t22_06242012182959\Patient8_LTM-FEBRUARY_t22_8.edf,sample_rate_1
13,F:\UCLH_GLAS\icEEG\1109\X626_23\Patient8_LTM-FEBRUARY_t23_06252012003011\Patient8_LTM-FEBRUARY_t23_2.edf,sample_rate_1
14,F:\UCLH_GLAS\icEEG\1109\X626_4\Patient8_LTM-FEBRUARY_t4_07022012101738\Pruned_10.edf,sample_rate_1
15,F:\UCLH_GLAS\icEEG\1109\X626_4\Patient8_LTM-FEBRUARY_t4_07022012101738\Pruned_2.edf,sample_rate_1
16,F:\UCLH_GLAS\icEEG\1109\X626_4\Patient8_LTM-FEBRUARY_t4_07022012101738\Pruned_4.edf,sample_rate_1
17,F:\UCLH_GLAS\icEEG\1109\X626_4\Patient8_LTM-FEBRUARY_t4_07022012101738\Pruned_6.edf,sample_rate_1
18,F:\UCLH_GLAS\icEEG\1109\X626_4\Patient8_LTM-FEBRUARY_t4_07022012101738\Pruned_8.edf,sample_rate_1
19,F:\UCLH_GLAS\icEEG\1109\X626_5\Patient8_LTM-FEBRUARY_t5_07022012104037\Pruned_2.edf,sample_rate_1
20,F:\UCLH_GLAS\icEEG\1109\X626_5\Patient8_LTM-FEBRUARY_t5_07022012104037\Pruned_4.edf,sample_rate_1
21,F:\UCLH_GLAS\icEEG\1109\X626_5\Patient8_LTM-FEBRUARY_t5_07022012104037\Pruned_6.edf,sample_rate_1
22,F:\UCLH_GLAS\icEEG\1109\X626_5\Patient8_LTM-FEBRUARY_t5_07022012104037\Pruned_8.edf,sample_rate_1
23,F:\UCLH_GLAS\icEEG\1109\X626_7_labelled8\Patient8_LTM-FEBRUARY_t8_07022012110753\Pruned_2.edf,sample_rate_1
24,F:\UCLH_GLAS\icEEG\1109\X626_7_Patient8_LTM-FEBRUARY_t7_06212012002604\Patient8_LTM-FEBRUARY_t7_2.edf,sample_rate_1
