,edf_path,why_edf_excluded
0,F:\UCLH_GLAS\icEEG\1106\X611_11\Patient8_LTM-FEBRUARY_t3_06182012063632\Patient8_LTM-FEBRUARY_t3_2.edf,sample_rate_1
1,F:\UCLH_GLAS\icEEG\1106\X611_11\Patient8_LTM-FEBRUARY_t3_06182012063632\Patient8_LTM-FEBRUARY_t3_4.edf,sample_rate_1
2,F:\UCLH_GLAS\icEEG\1106\X611_20\Patient8_LTM-FEBRUARY_t1_07012012132909\Pruned_3.edf,sample_rate_1
3,F:\UCLH_GLAS\icEEG\1106\X611_21\Pruned_07012012120249\Pruned_2.edf,sample_rate_1
4,F:\UCLH_GLAS\icEEG\1106\X611_5\Patient8_LTM-FEBRUARY_t6_06302012110722\Pruned_10.edf,sample_rate_1
5,F:\UCLH_GLAS\icEEG\1106\X611_5\Patient8_LTM-FEBRUARY_t6_06302012110722\Pruned_2.edf,sample_rate_1
6,F:\UCLH_GLAS\icEEG\1106\X611_5\Patient8_LTM-FEBRUARY_t6_06302012110722\Pruned_4.edf,sample_rate_1
7,F:\UCLH_GLAS\icEEG\1106\X611_5\Patient8_LTM-FEBRUARY_t6_06302012110722\Pruned_6.edf,sample_rate_1
8,F:\UCLH_GLAS\icEEG\1106\X611_5\Patient8_LTM-FEBRUARY_t6_06302012110722\Pruned_8.edf,sample_rate_1
9,F:\UCLH_GLAS\icEEG\1106\X611_6\Patient11_LTM-NOVEMBER_t1_06182012152502\Patient11_LTM-NOVEMBER_t1_1.edf,chan_notInList
10,F:\UCLH_GLAS\icEEG\1106\X611_6\Patient11_LTM-NOVEMBER_t1_06182012152502\Patient11_LTM-NOVEMBER_t1_2.edf,chan_notInList
11,F:\UCLH_GLAS\icEEG\1106\X611_6\Patient8_LTM-FEBRUARY_t1_06122012092259\Patient8_LTM-FEBRUARY_t1_5.edf,sample_rate_1
12,F:\UCLH_GLAS\icEEG\1106\X611_6\Patient8_LTM-FEBRUARY_t1_06122012092259\Patient8_LTM-FEBRUARY_t1_7.edf,sample_rate_1
13,F:\UCLH_GLAS\icEEG\1106\X611_6\Patient8_LTM-FEBRUARY_t1_06122012092259\Patient8_LTM-FEBRUARY_t1_9.edf,sample_rate_1
